INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Out/2009
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 1 1 467,66 329,20 - - 138,46 - - 467,66 467,66 - - - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 6 6 1.220,52 877,38 - - 343,14 - - 203,42 203,42 5 0,8 - -
0409060054 CURETAGEM UTERINA EM MOLA HIDATIFORME 1 1 185,38 114,50 - - 70,88 - - 185,38 185,38 2 2,0 - -
0409060100 HISTERECTOMIA (POR VIA VAGINAL) 6 6 3.416,48 2.316,02 - - 1.100,46 - - 569,41 569,41 16 2,7 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 1 1 866,70 607,90 - - 258,80 - - 866,70 866,70 2 2,0 - -
0409060127 HISTERECTOMIA SUBTOTAL 1 1 716,90 525,96 - - 190,94 - - 716,90 716,90 4 4,0 - -
0409060135 HISTERECTOMIA TOTAL 9 9 6.570,27 4.574,88 - - 1.995,39 - - 730,03 730,03 21 2,3 - -
0409060186 LAQUEADURA TUBARIA 7 7 2.709,14 1.736,35 - - 972,79 - - 387,02 387,02 7 1,0 - -
0409060216 OOFORECTOMIA / OOFOROPLASTIA 2 2 1.091,72 788,00 - - 303,72 - - 545,86 545,86 3 1,5 - -
0409060232 SALPINGECTOMIA UNI / BILATERAL 1 1 489,59 336,72 - - 152,87 - - 489,59 489,59 5 5,0 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 1 1 472,43 298,12 - - 174,31 - - 472,43 472,43 2 2,0 - -
0410010014 DRENAGEM DE ABSCESSO DE MAMA 1 1 171,51 122,58 - - 48,93 - - 171,51 171,51 2 2,0 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 1 1 205,81 132,48 - - 73,33 - - 205,81 205,81 1 1,0 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 16 16 21.713,17 14.148,10 - - 7.565,07 - - 1.357,07 1.357,07 50 3,1 - -
0411010034 OPERACAO CESARIANA 149 149 112.696,10 63.524,03 - - 49.172,07 - - 756,35 756,35 242 1,6 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 9 9 9.973,33 6.245,98 - - 3.727,35 - - 1.108,15 1.108,15 13 1,4 - -
0411010050 REDUCAO MANUAL DE INVERSAO UTERINA AGUDA POS-PARTO 1 1 133,95 63,97 - - 69,98 - - 133,95 133,95 2 2,0 - -
0411010077 SUTURA DE LACERACOES DE TRAJETO PELVICO 1 1 145,58 88,76 - - 56,82 - - 145,58 145,58 1 1,0 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 42 42 10.575,93 7.550,91 - - 3.025,02 - - 251,81 251,81 65 1,5 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 3 3 1.626,32 1.240,22 - - 386,10 - - 542,11 542,11 6 2,0 - -
0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS 3 3 10.709,27 8.816,63 - - 1.892,64 - - 3.569,76 3.569,76 26 8,7 2 66,67
0415020034 OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS 1 1 2.086,06 1.509,93 - - 576,13 - - 2.086,06 2.086,06 6 6,0 1 100,00
Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.
COPIA COMO .CSV
COPIA PARA TABWIN
